hospital,lat,long,year,hour,patients,wait_time,department,doctor_name,available,leave_status,floor,room,beds_available
Metro Hospital,28.65,77.25,2022,0,36,27,Cardiology,Dr Gupta,Yes,No,3,349,6
Green Valley Hospital,28.7,77.3,2024,17,51,27,Dental,Dr Ali,Yes,No,1,115,4
Green Valley Hospital,28.7,77.3,2022,10,122,103,Emergency,Dr Khan,No,Yes,0,43,0
Green Valley Hospital,28.7,77.3,2022,17,42,24,X-ray,Dr Das,Yes,No,4,430,4
Green Valley Hospital,28.7,77.3,2023,23,3,2,Dental,Dr Wong,Yes,No,1,193,8
Metro Hospital,28.65,77.25,2022,18,88,58,Dental,Dr Singh,Yes,No,1,198,2
Metro Hospital,28.65,77.25,2022,17,31,17,Dental,Dr Wong,Yes,No,1,197,8
Metro Hospital,28.65,77.25,2022,7,37,26,X-ray,Dr Ray,Yes,No,4,485,4
City Hospital,28.61,77.2,2022,7,91,53,Emergency,Dr Allen,Yes,No,0,67,3
City Hospital,28.61,77.2,2024,7,80,73,Emergency,Dr Allen,No,Yes,0,25,3
Green Valley Hospital,28.7,77.3,2022,10,66,40,Cardiology,Dr Gupta,Yes,No,3,387,5
Green Valley Hospital,28.7,77.3,2022,7,49,33,Orthopedic,Dr Reddy,Yes,No,2,224,5
Green Valley Hospital,28.7,77.3,2024,6,24,44,Emergency,Dr Doe,No,Yes,0,27,4
Metro Hospital,28.65,77.25,2023,9,34,22,X-ray,Dr Das,Yes,No,4,458,5
Green Valley Hospital,28.7,77.3,2022,13,132,56,Emergency,Dr Smith,Yes,No,0,46,0
Green Valley Hospital,28.7,77.3,2022,23,58,39,Emergency,Dr Khan,Yes,No,0,49,2
Green Valley Hospital,28.7,77.3,2024,15,41,22,Orthopedic,Dr Patel,Yes,No,2,250,5
City Hospital,28.61,77.2,2024,9,33,22,Dental,Dr Ali,Yes,No,1,123,6
Green Valley Hospital,28.7,77.3,2024,7,28,48,Cardiology,Dr Wright,No,Yes,3,344,4
City Hospital,28.61,77.2,2023,21,75,50,Cardiology,Dr Lee,Yes,No,3,339,3
Green Valley Hospital,28.7,77.3,2023,16,44,25,Cardiology,Dr Kim,Yes,No,3,340,6
Metro Hospital,28.65,77.25,2024,3,3,4,Dental,Dr Wong,Yes,No,1,179,5
Metro Hospital,28.65,77.25,2024,14,87,37,Cardiology,Dr Lee,Yes,No,3,343,3
Metro Hospital,28.65,77.25,2024,1,4,5,Orthopedic,Dr Patel,Yes,No,2,229,10
Metro Hospital,28.65,77.25,2023,7,39,25,X-ray,Dr Das,Yes,No,4,470,6
Metro Hospital,28.65,77.25,2023,12,84,73,Dental,Dr Singh,No,Yes,1,164,1
Metro Hospital,28.65,77.25,2023,5,12,7,X-ray,Dr Das,Yes,No,4,482,6
Metro Hospital,28.65,77.25,2024,20,61,35,X-ray,Dr Das,Yes,No,4,459,3
Green Valley Hospital,28.7,77.3,2022,5,1,4,Dental,Dr Singh,Yes,No,1,173,6
Metro Hospital,28.65,77.25,2022,21,145,92,Emergency,Dr Khan,Yes,No,0,29,0
City Hospital,28.61,77.2,2022,1,10,7,X-ray,Dr Ray,Yes,No,4,420,10
Metro Hospital,28.65,77.25,2022,8,85,52,Emergency,Dr Smith,Yes,No,0,56,2
City Hospital,28.61,77.2,2023,17,49,32,Dental,Dr Singh,Yes,No,1,166,4
City Hospital,28.61,77.2,2023,17,26,11,X-ray,Dr Das,Yes,No,4,441,7
City Hospital,28.61,77.2,2022,4,17,12,X-ray,Dr Das,Yes,No,4,454,9
Metro Hospital,28.65,77.25,2022,13,66,43,X-ray,Dr Ray,Yes,No,4,416,4
Metro Hospital,28.65,77.25,2022,23,87,79,Emergency,Dr Allen,No,Yes,0,50,3
City Hospital,28.61,77.2,2022,1,0,0,Dental,Dr Ali,Yes,No,1,192,7
Green Valley Hospital,28.7,77.3,2024,0,62,42,Emergency,Dr Khan,Yes,No,0,32,5
City Hospital,28.61,77.2,2023,7,48,27,Orthopedic,Dr Sharma,Yes,No,2,224,5
Green Valley Hospital,28.7,77.3,2023,18,104,50,Dental,Dr Singh,Yes,No,1,176,0
Metro Hospital,28.65,77.25,2022,8,48,28,Cardiology,Dr Wright,Yes,No,3,332,4
Metro Hospital,28.65,77.25,2023,21,67,34,X-ray,Dr Das,Yes,No,4,461,2
Green Valley Hospital,28.7,77.3,2024,12,64,32,Cardiology,Dr Lee,Yes,No,3,376,2
City Hospital,28.61,77.2,2024,5,16,40,X-ray,Dr Das,No,Yes,4,495,5
City Hospital,28.61,77.2,2024,9,25,15,Orthopedic,Dr Patel,Yes,No,2,226,6
City Hospital,28.61,77.2,2023,9,103,56,Emergency,Dr Khan,Yes,No,0,39,0
Green Valley Hospital,28.7,77.3,2023,12,62,28,X-ray,Dr Das,Yes,No,4,411,2
Metro Hospital,28.65,77.25,2023,10,82,45,Cardiology,Dr Kim,Yes,No,3,383,3
Metro Hospital,28.65,77.25,2023,6,7,5,Orthopedic,Dr Verma,Yes,No,2,225,9
Green Valley Hospital,28.7,77.3,2022,4,9,9,Cardiology,Dr Lee,Yes,No,3,399,5
City Hospital,28.61,77.2,2024,18,146,86,Emergency,Dr Khan,Yes,No,0,50,0
Green Valley Hospital,28.7,77.3,2022,18,102,53,Orthopedic,Dr Reddy,Yes,No,2,270,1
City Hospital,28.61,77.2,2024,21,71,47,X-ray,Dr Ray,Yes,No,4,429,3
Metro Hospital,28.65,77.25,2024,11,118,54,Emergency,Dr Khan,Yes,No,0,97,0
Green Valley Hospital,28.7,77.3,2024,7,46,44,Cardiology,Dr Lee,No,Yes,3,391,6
Green Valley Hospital,28.7,77.3,2024,19,61,39,X-ray,Dr Das,Yes,No,4,484,5
City Hospital,28.61,77.2,2024,7,34,53,Cardiology,Dr Lee,No,Yes,3,310,3
Metro Hospital,28.65,77.25,2023,1,3,2,Dental,Dr Singh,Yes,No,1,130,5
Green Valley Hospital,28.7,77.3,2022,6,11,6,Cardiology,Dr Lee,Yes,No,3,325,8
Metro Hospital,28.65,77.25,2023,17,43,25,Cardiology,Dr Wright,Yes,No,3,314,6
City Hospital,28.61,77.2,2022,7,44,23,X-ray,Dr Ray,Yes,No,4,457,5
Green Valley Hospital,28.7,77.3,2023,11,84,81,Cardiology,Dr Kim,No,Yes,3,380,2
Metro Hospital,28.65,77.25,2022,2,6,31,Orthopedic,Dr Verma,No,Yes,2,246,7
Green Valley Hospital,28.7,77.3,2022,6,0,0,Dental,Dr Wong,Yes,No,1,155,8
Green Valley Hospital,28.7,77.3,2022,6,8,42,X-ray,Dr Das,No,Yes,4,496,9
Green Valley Hospital,28.7,77.3,2024,22,20,12,X-ray,Dr Das,Yes,No,4,427,7
City Hospital,28.61,77.2,2024,8,31,21,X-ray,Dr Ray,Yes,No,4,477,8
Green Valley Hospital,28.7,77.3,2022,10,91,59,Cardiology,Dr Wright,Yes,No,3,358,2
Metro Hospital,28.65,77.25,2023,15,90,52,Emergency,Dr Khan,Yes,No,0,64,3
Green Valley Hospital,28.7,77.3,2022,22,2,2,Dental,Dr Singh,Yes,No,1,165,7
City Hospital,28.61,77.2,2022,16,28,17,Dental,Dr Ali,Yes,No,1,174,9
Green Valley Hospital,28.7,77.3,2022,13,156,93,Emergency,Dr Khan,Yes,No,0,98,0
Green Valley Hospital,28.7,77.3,2024,8,31,49,X-ray,Dr Ray,No,Yes,4,478,6
City Hospital,28.61,77.2,2023,13,63,61,Orthopedic,Dr Sharma,No,Yes,2,298,2
Green Valley Hospital,28.7,77.3,2022,5,29,57,Emergency,Dr Khan,No,Yes,0,33,6
Metro Hospital,28.65,77.25,2023,19,103,81,Orthopedic,Dr Reddy,No,Yes,2,275,1
Green Valley Hospital,28.7,77.3,2022,21,75,35,Orthopedic,Dr Patel,Yes,No,2,228,1
City Hospital,28.61,77.2,2023,13,81,59,Orthopedic,Dr Verma,Yes,No,2,236,3
City Hospital,28.61,77.2,2023,21,71,42,Cardiology,Dr Gupta,Yes,No,3,397,4
Green Valley Hospital,28.7,77.3,2023,7,3,2,Dental,Dr Wong,Yes,No,1,160,5
City Hospital,28.61,77.2,2022,6,39,28,Emergency,Dr Khan,Yes,No,0,26,5
Metro Hospital,28.65,77.25,2024,19,71,38,Dental,Dr Wong,Yes,No,1,131,4
Green Valley Hospital,28.7,77.3,2024,22,34,21,Orthopedic,Dr Reddy,Yes,No,2,241,5
City Hospital,28.61,77.2,2022,4,1,4,Dental,Dr Ali,Yes,No,1,199,9
Green Valley Hospital,28.7,77.3,2023,20,65,30,X-ray,Dr Ray,Yes,No,4,438,2
Metro Hospital,28.65,77.25,2022,16,33,23,X-ray,Dr Das,Yes,No,4,451,6
Green Valley Hospital,28.7,77.3,2022,18,97,51,Cardiology,Dr Wright,Yes,No,3,353,1
Metro Hospital,28.65,77.25,2023,7,33,17,X-ray,Dr Das,Yes,No,4,448,7
Metro Hospital,28.65,77.25,2022,21,88,60,Cardiology,Dr Lee,Yes,No,3,348,1
City Hospital,28.61,77.2,2023,0,31,18,Orthopedic,Dr Verma,Yes,No,2,226,7
City Hospital,28.61,77.2,2022,12,74,52,Cardiology,Dr Kim,Yes,No,3,329,2
Green Valley Hospital,28.7,77.3,2024,11,151,80,Emergency,Dr Khan,Yes,No,0,92,0
Green Valley Hospital,28.7,77.3,2022,21,87,37,Cardiology,Dr Wright,Yes,No,3,378,3
Metro Hospital,28.65,77.25,2023,11,67,63,Orthopedic,Dr Sharma,No,Yes,2,224,3
City Hospital,28.61,77.2,2022,7,40,25,Cardiology,Dr Kim,Yes,No,3,386,7
Green Valley Hospital,28.7,77.3,2024,13,63,27,X-ray,Dr Ray,Yes,No,4,456,4
Green Valley Hospital,28.7,77.3,2023,10,59,41,X-ray,Dr Das,Yes,No,4,431,4
City Hospital,28.61,77.2,2022,21,2,35,Dental,Dr Singh,No,Yes,1,153,9
City Hospital,28.61,77.2,2022,18,90,64,Cardiology,Dr Kim,Yes,No,3,333,2
Metro Hospital,28.65,77.25,2022,11,88,44,Dental,Dr Ali,Yes,No,1,142,2
Metro Hospital,28.65,77.25,2022,18,87,79,Orthopedic,Dr Verma,No,Yes,2,264,1
Metro Hospital,28.65,77.25,2023,16,52,39,Dental,Dr Ali,Yes,No,1,116,4
City Hospital,28.61,77.2,2022,13,81,57,Orthopedic,Dr Verma,Yes,No,2,218,1
Metro Hospital,28.65,77.25,2023,23,45,26,Orthopedic,Dr Patel,Yes,No,2,242,7
Green Valley Hospital,28.7,77.3,2023,15,30,16,X-ray,Dr Ray,Yes,No,4,481,6
City Hospital,28.61,77.2,2024,7,45,31,Orthopedic,Dr Sharma,Yes,No,2,242,4
Green Valley Hospital,28.7,77.3,2023,9,37,21,Orthopedic,Dr Reddy,Yes,No,2,242,5
Green Valley Hospital,28.7,77.3,2022,5,7,6,Orthopedic,Dr Reddy,Yes,No,2,216,7
Green Valley Hospital,28.7,77.3,2024,13,68,45,Orthopedic,Dr Verma,Yes,No,2,299,3
Metro Hospital,28.65,77.25,2023,1,8,7,Cardiology,Dr Wright,Yes,No,3,332,10
City Hospital,28.61,77.2,2022,17,27,16,Cardiology,Dr Wright,Yes,No,3,349,7
Metro Hospital,28.65,77.25,2022,7,50,26,Orthopedic,Dr Patel,Yes,No,2,260,3
Metro Hospital,28.65,77.25,2022,0,29,24,Orthopedic,Dr Patel,Yes,No,2,274,6
Metro Hospital,28.65,77.25,2023,10,139,114,Emergency,Dr Smith,No,Yes,0,98,0
City Hospital,28.61,77.2,2023,11,87,52,Cardiology,Dr Gupta,Yes,No,3,394,1
Metro Hospital,28.65,77.25,2022,4,2,35,Cardiology,Dr Lee,No,Yes,3,336,8
City Hospital,28.61,77.2,2024,7,38,30,Orthopedic,Dr Reddy,Yes,No,2,210,4
Metro Hospital,28.65,77.25,2023,14,91,64,Cardiology,Dr Kim,Yes,No,3,344,2
City Hospital,28.61,77.2,2024,16,58,41,Emergency,Dr Doe,Yes,No,0,43,5
City Hospital,28.61,77.2,2024,6,34,17,Emergency,Dr Khan,Yes,No,0,87,3
Green Valley Hospital,28.7,77.3,2022,0,47,23,Cardiology,Dr Wright,Yes,No,3,389,6
Metro Hospital,28.65,77.25,2023,12,135,80,Emergency,Dr Smith,Yes,No,0,13,0
Metro Hospital,28.65,77.25,2024,4,7,5,Cardiology,Dr Wright,Yes,No,3,370,9
Metro Hospital,28.65,77.25,2024,11,69,69,Cardiology,Dr Wright,No,Yes,3,363,2
City Hospital,28.61,77.2,2023,7,53,36,Orthopedic,Dr Patel,Yes,No,2,218,6
Metro Hospital,28.65,77.25,2024,16,77,53,Emergency,Dr Smith,Yes,No,0,16,4
Green Valley Hospital,28.7,77.3,2024,17,29,17,Dental,Dr Ali,Yes,No,1,172,8
Green Valley Hospital,28.7,77.3,2022,4,8,8,Cardiology,Dr Wright,Yes,No,3,345,8
City Hospital,28.61,77.2,2023,22,81,39,Emergency,Dr Smith,Yes,No,0,22,1
Green Valley Hospital,28.7,77.3,2023,19,162,110,Emergency,Dr Smith,Yes,No,0,50,0
City Hospital,28.61,77.2,2024,8,38,27,X-ray,Dr Ray,Yes,No,4,462,7
Metro Hospital,28.65,77.25,2024,8,42,22,X-ray,Dr Das,Yes,No,4,476,5
Green Valley Hospital,28.7,77.3,2023,6,5,4,Orthopedic,Dr Sharma,Yes,No,2,237,6
Metro Hospital,28.65,77.25,2023,18,88,84,Orthopedic,Dr Reddy,No,Yes,2,254,2
Metro Hospital,28.65,77.25,2024,13,160,76,Emergency,Dr Allen,Yes,No,0,33,0
Green Valley Hospital,28.7,77.3,2024,21,97,65,Orthopedic,Dr Reddy,Yes,No,2,252,2
Green Valley Hospital,28.7,77.3,2022,2,4,6,Cardiology,Dr Lee,Yes,No,3,377,9
City Hospital,28.61,77.2,2023,0,52,36,Orthopedic,Dr Reddy,Yes,No,2,249,4
City Hospital,28.61,77.2,2022,19,164,115,Emergency,Dr Doe,No,Yes,0,83,0
Metro Hospital,28.65,77.25,2023,5,10,46,Orthopedic,Dr Patel,No,Yes,2,271,8
Green Valley Hospital,28.7,77.3,2023,19,88,90,Orthopedic,Dr Verma,No,Yes,2,216,2
City Hospital,28.61,77.2,2024,11,85,44,Orthopedic,Dr Reddy,Yes,No,2,275,1
City Hospital,28.61,77.2,2024,9,88,63,Emergency,Dr Khan,Yes,No,0,65,2
City Hospital,28.61,77.2,2023,1,5,31,Cardiology,Dr Wright,No,Yes,3,356,5
Green Valley Hospital,28.7,77.3,2023,11,69,35,Cardiology,Dr Wright,Yes,No,3,370,3
Metro Hospital,28.65,77.25,2023,23,38,28,Cardiology,Dr Kim,Yes,No,3,328,4
Green Valley Hospital,28.7,77.3,2024,15,43,27,Dental,Dr Wong,Yes,No,1,177,5
City Hospital,28.61,77.2,2023,23,37,20,X-ray,Dr Das,Yes,No,4,480,7
Green Valley Hospital,28.7,77.3,2024,22,38,61,X-ray,Dr Ray,No,Yes,4,464,6
City Hospital,28.61,77.2,2023,4,11,7,Cardiology,Dr Kim,Yes,No,3,311,6
Metro Hospital,28.65,77.25,2023,19,77,43,Orthopedic,Dr Verma,Yes,No,2,262,3
Metro Hospital,28.65,77.25,2023,14,138,82,Emergency,Dr Allen,Yes,No,0,67,0
Metro Hospital,28.65,77.25,2022,20,85,51,Cardiology,Dr Lee,Yes,No,3,386,0
City Hospital,28.61,77.2,2023,8,87,41,Emergency,Dr Khan,Yes,No,0,87,1
City Hospital,28.61,77.2,2023,2,13,11,X-ray,Dr Das,Yes,No,4,454,10
Green Valley Hospital,28.7,77.3,2022,16,26,16,Dental,Dr Wong,Yes,No,1,122,8
Metro Hospital,28.65,77.25,2024,19,72,63,X-ray,Dr Ray,No,Yes,4,464,3
Metro Hospital,28.65,77.25,2024,4,26,17,Emergency,Dr Allen,Yes,No,0,77,5
Metro Hospital,28.65,77.25,2024,8,53,22,Dental,Dr Ali,Yes,No,1,181,4
Metro Hospital,28.65,77.25,2022,10,94,43,Orthopedic,Dr Sharma,Yes,No,2,257,1
City Hospital,28.61,77.2,2022,0,49,25,Cardiology,Dr Gupta,Yes,No,3,392,6
Green Valley Hospital,28.7,77.3,2022,17,38,24,Cardiology,Dr Gupta,Yes,No,3,338,5
City Hospital,28.61,77.2,2023,22,114,74,Emergency,Dr Doe,Yes,No,0,53,0
City Hospital,28.61,77.2,2022,18,87,49,Dental,Dr Ali,Yes,No,1,140,2
City Hospital,28.61,77.2,2024,7,3,6,Dental,Dr Singh,Yes,No,1,199,10
Metro Hospital,28.65,77.25,2024,5,4,2,Orthopedic,Dr Reddy,Yes,No,2,251,8
Metro Hospital,28.65,77.25,2023,20,136,80,Emergency,Dr Allen,Yes,No,0,77,0
Green Valley Hospital,28.7,77.3,2022,7,54,72,Orthopedic,Dr Reddy,No,Yes,2,211,3
Metro Hospital,28.65,77.25,2024,15,35,23,Orthopedic,Dr Patel,Yes,No,2,277,6
Green Valley Hospital,28.7,77.3,2022,7,2,4,Dental,Dr Singh,Yes,No,1,166,7
Green Valley Hospital,28.7,77.3,2022,13,125,52,Emergency,Dr Smith,Yes,No,0,80,0
Metro Hospital,28.65,77.25,2023,4,33,18,Emergency,Dr Smith,Yes,No,0,26,6
Metro Hospital,28.65,77.25,2024,3,2,3,Cardiology,Dr Kim,Yes,No,3,322,6
City Hospital,28.61,77.2,2024,19,152,98,Emergency,Dr Khan,Yes,No,0,76,0
Green Valley Hospital,28.7,77.3,2023,21,57,55,X-ray,Dr Ray,No,Yes,4,480,3
Green Valley Hospital,28.7,77.3,2022,12,73,31,Dental,Dr Singh,Yes,No,1,187,4
City Hospital,28.61,77.2,2023,6,0,0,Dental,Dr Wong,Yes,No,1,118,9
City Hospital,28.61,77.2,2022,17,96,65,Emergency,Dr Khan,Yes,No,0,29,2
Metro Hospital,28.65,77.25,2022,3,3,5,Dental,Dr Singh,Yes,No,1,167,8
City Hospital,28.61,77.2,2024,16,27,15,Cardiology,Dr Gupta,Yes,No,3,361,8
City Hospital,28.61,77.2,2022,17,54,38,Cardiology,Dr Kim,Yes,No,3,311,5
City Hospital,28.61,77.2,2024,15,98,57,Emergency,Dr Smith,Yes,No,0,99,1
Green Valley Hospital,28.7,77.3,2022,9,31,18,X-ray,Dr Ray,Yes,No,4,426,6
Metro Hospital,28.65,77.25,2024,9,30,16,Cardiology,Dr Kim,Yes,No,3,328,6
Green Valley Hospital,28.7,77.3,2023,7,2,3,Dental,Dr Singh,Yes,No,1,118,5
Green Valley Hospital,28.7,77.3,2022,22,2,5,Dental,Dr Singh,Yes,No,1,194,9
Green Valley Hospital,28.7,77.3,2022,10,62,58,Orthopedic,Dr Sharma,No,Yes,2,224,4
City Hospital,28.61,77.2,2024,0,45,48,Orthopedic,Dr Verma,No,Yes,2,220,4
Green Valley Hospital,28.7,77.3,2022,8,44,25,Dental,Dr Wong,Yes,No,1,150,5
City Hospital,28.61,77.2,2022,9,90,53,Emergency,Dr Doe,Yes,No,0,55,1
Green Valley Hospital,28.7,77.3,2023,19,82,39,Cardiology,Dr Lee,Yes,No,3,326,1
Green Valley Hospital,28.7,77.3,2024,5,17,10,X-ray,Dr Ray,Yes,No,4,442,6
City Hospital,28.61,77.2,2022,14,62,28,Orthopedic,Dr Patel,Yes,No,2,235,3
Metro Hospital,28.65,77.25,2022,4,6,7,Orthopedic,Dr Patel,Yes,No,2,287,6
City Hospital,28.61,77.2,2023,23,30,23,Cardiology,Dr Lee,Yes,No,3,395,6
Metro Hospital,28.65,77.25,2023,2,18,15,X-ray,Dr Das,Yes,No,4,456,7
City Hospital,28.61,77.2,2024,7,80,46,Emergency,Dr Khan,Yes,No,0,25,2
Green Valley Hospital,28.7,77.3,2024,20,74,45,Dental,Dr Ali,Yes,No,1,189,1
Metro Hospital,28.65,77.25,2022,23,25,51,Orthopedic,Dr Patel,No,Yes,2,293,6
Green Valley Hospital,28.7,77.3,2023,19,72,47,X-ray,Dr Das,Yes,No,4,417,2
City Hospital,28.61,77.2,2022,8,72,36,Emergency,Dr Allen,Yes,No,0,18,2
Metro Hospital,28.65,77.25,2023,20,100,54,Cardiology,Dr Lee,Yes,No,3,399,0
Metro Hospital,28.65,77.25,2024,5,12,12,X-ray,Dr Ray,Yes,No,4,476,6
Metro Hospital,28.65,77.25,2024,3,2,31,Cardiology,Dr Wright,No,Yes,3,350,6
City Hospital,28.61,77.2,2022,14,76,46,Orthopedic,Dr Sharma,Yes,No,2,283,3
Metro Hospital,28.65,77.25,2023,0,39,24,X-ray,Dr Ray,Yes,No,4,414,3
City Hospital,28.61,77.2,2023,17,73,82,Emergency,Dr Allen,No,Yes,0,45,3
Green Valley Hospital,28.7,77.3,2023,19,104,73,Cardiology,Dr Wright,Yes,No,3,344,1
Metro Hospital,28.65,77.25,2022,9,26,52,X-ray,Dr Ray,No,Yes,4,498,6
Green Valley Hospital,28.7,77.3,2022,4,1,1,Dental,Dr Wong,Yes,No,1,188,9
Green Valley Hospital,28.7,77.3,2023,4,2,6,Dental,Dr Singh,Yes,No,1,122,5
City Hospital,28.61,77.2,2022,6,8,7,Cardiology,Dr Lee,Yes,No,3,360,5
Green Valley Hospital,28.7,77.3,2022,7,3,3,Dental,Dr Ali,Yes,No,1,124,9
Metro Hospital,28.65,77.25,2024,13,159,74,Emergency,Dr Allen,Yes,No,0,37,0
Green Valley Hospital,28.7,77.3,2022,8,95,42,Emergency,Dr Allen,Yes,No,0,98,1
Metro Hospital,28.65,77.25,2022,12,71,43,Cardiology,Dr Kim,Yes,No,3,334,4
Metro Hospital,28.65,77.25,2024,23,63,27,Emergency,Dr Khan,Yes,No,0,68,3
Green Valley Hospital,28.7,77.3,2022,18,159,94,Emergency,Dr Smith,Yes,No,0,23,0
Metro Hospital,28.65,77.25,2023,3,14,39,X-ray,Dr Das,No,Yes,4,458,5
Metro Hospital,28.65,77.25,2023,6,32,21,Emergency,Dr Smith,Yes,No,0,98,6
City Hospital,28.61,77.2,2023,2,32,20,Emergency,Dr Smith,Yes,No,0,92,7
City Hospital,28.61,77.2,2022,21,102,66,Orthopedic,Dr Patel,Yes,No,2,239,0
City Hospital,28.61,77.2,2024,8,40,19,Orthopedic,Dr Reddy,Yes,No,2,226,5
Green Valley Hospital,28.7,77.3,2023,6,3,2,Orthopedic,Dr Sharma,Yes,No,2,294,6
Metro Hospital,28.65,77.25,2024,11,87,56,Cardiology,Dr Kim,Yes,No,3,310,2
Green Valley Hospital,28.7,77.3,2024,10,82,37,Orthopedic,Dr Reddy,Yes,No,2,221,2
Metro Hospital,28.65,77.25,2024,18,70,48,Cardiology,Dr Wright,Yes,No,3,349,4
Metro Hospital,28.65,77.25,2023,5,47,33,Emergency,Dr Allen,Yes,No,0,38,5
City Hospital,28.61,77.2,2024,21,81,85,Cardiology,Dr Kim,No,Yes,3,365,2
Metro Hospital,28.65,77.25,2023,3,8,43,X-ray,Dr Ray,No,Yes,4,477,8
City Hospital,28.61,77.2,2023,3,3,5,Dental,Dr Ali,Yes,No,1,169,7
Green Valley Hospital,28.7,77.3,2022,18,178,74,Emergency,Dr Allen,Yes,No,0,34,0
Green Valley Hospital,28.7,77.3,2023,14,133,86,Emergency,Dr Khan,Yes,No,0,43,0
Metro Hospital,28.65,77.25,2024,22,34,25,Orthopedic,Dr Verma,Yes,No,2,214,7
City Hospital,28.61,77.2,2022,4,3,4,Cardiology,Dr Gupta,Yes,No,3,368,10
City Hospital,28.61,77.2,2023,23,1,5,Dental,Dr Singh,Yes,No,1,189,9
Metro Hospital,28.65,77.25,2024,9,31,15,Cardiology,Dr Gupta,Yes,No,3,365,4
Metro Hospital,28.65,77.25,2023,14,131,65,Emergency,Dr Doe,Yes,No,0,51,0
Metro Hospital,28.65,77.25,2022,18,140,87,Emergency,Dr Allen,Yes,No,0,99,0
Metro Hospital,28.65,77.25,2024,0,30,16,Cardiology,Dr Wright,Yes,No,3,358,8
Metro Hospital,28.65,77.25,2022,4,2,35,Dental,Dr Wong,No,Yes,1,175,6
Metro Hospital,28.65,77.25,2022,20,161,99,Emergency,Dr Khan,Yes,No,0,61,0
City Hospital,28.61,77.2,2023,1,26,16,Emergency,Dr Smith,Yes,No,0,48,4
City Hospital,28.61,77.2,2023,5,22,16,Emergency,Dr Khan,Yes,No,0,19,5
City Hospital,28.61,77.2,2024,0,34,42,X-ray,Dr Das,No,Yes,4,441,3
City Hospital,28.61,77.2,2022,1,3,3,Dental,Dr Singh,Yes,No,1,179,6
Green Valley Hospital,28.7,77.3,2024,14,86,57,Orthopedic,Dr Reddy,Yes,No,2,272,3
Metro Hospital,28.65,77.25,2024,20,91,66,Orthopedic,Dr Verma,Yes,No,2,210,2
Metro Hospital,28.65,77.25,2024,21,103,52,Cardiology,Dr Lee,Yes,No,3,381,0
City Hospital,28.61,77.2,2024,0,58,47,Emergency,Dr Khan,No,Yes,0,24,5
City Hospital,28.61,77.2,2024,5,7,6,Cardiology,Dr Wright,Yes,No,3,394,8
City Hospital,28.61,77.2,2023,9,62,40,Emergency,Dr Khan,Yes,No,0,43,5
City Hospital,28.61,77.2,2024,23,0,0,Dental,Dr Ali,Yes,No,1,144,6
Metro Hospital,28.65,77.25,2023,5,2,2,Orthopedic,Dr Sharma,Yes,No,2,293,5
City Hospital,28.61,77.2,2023,23,86,55,Emergency,Dr Khan,Yes,No,0,47,2
Metro Hospital,28.65,77.25,2023,1,3,28,Orthopedic,Dr Verma,No,Yes,2,299,7
Green Valley Hospital,28.7,77.3,2024,21,89,53,Orthopedic,Dr Patel,Yes,No,2,261,1
Green Valley Hospital,28.7,77.3,2022,19,77,43,Orthopedic,Dr Reddy,Yes,No,2,228,3
City Hospital,28.61,77.2,2024,5,2,5,Dental,Dr Ali,Yes,No,1,114,7
City Hospital,28.61,77.2,2022,17,39,28,Orthopedic,Dr Sharma,Yes,No,2,213,7
Green Valley Hospital,28.7,77.3,2023,15,42,59,X-ray,Dr Das,No,Yes,4,442,3
City Hospital,28.61,77.2,2023,11,67,31,Dental,Dr Wong,Yes,No,1,176,3
City Hospital,28.61,77.2,2022,18,104,68,Cardiology,Dr Lee,Yes,No,3,352,0
Green Valley Hospital,28.7,77.3,2022,4,10,11,Orthopedic,Dr Reddy,Yes,No,2,241,6
City Hospital,28.61,77.2,2022,1,10,47,Orthopedic,Dr Reddy,No,Yes,2,291,6
Green Valley Hospital,28.7,77.3,2024,14,149,114,Emergency,Dr Doe,No,Yes,0,64,0
Metro Hospital,28.65,77.25,2022,6,19,11,X-ray,Dr Ray,Yes,No,4,442,5
City Hospital,28.61,77.2,2023,4,35,22,Emergency,Dr Khan,Yes,No,0,72,6
Green Valley Hospital,28.7,77.3,2023,17,47,21,Orthopedic,Dr Sharma,Yes,No,2,272,3
Metro Hospital,28.65,77.25,2022,21,63,40,X-ray,Dr Das,Yes,No,4,452,2
Green Valley Hospital,28.7,77.3,2023,7,88,52,Emergency,Dr Smith,Yes,No,0,68,1
Green Valley Hospital,28.7,77.3,2023,0,53,29,Cardiology,Dr Gupta,Yes,No,3,393,6
Metro Hospital,28.65,77.25,2024,20,100,65,Dental,Dr Wong,Yes,No,1,154,0
Green Valley Hospital,28.7,77.3,2022,5,11,9,Cardiology,Dr Kim,Yes,No,3,371,9
Green Valley Hospital,28.7,77.3,2024,6,42,31,Emergency,Dr Doe,Yes,No,0,36,4
City Hospital,28.61,77.2,2024,21,102,58,Orthopedic,Dr Verma,Yes,No,2,211,0
Green Valley Hospital,28.7,77.3,2023,8,48,30,Cardiology,Dr Kim,Yes,No,3,346,3
Green Valley Hospital,28.7,77.3,2023,13,90,40,Dental,Dr Singh,Yes,No,1,159,2
City Hospital,28.61,77.2,2022,16,64,83,Emergency,Dr Smith,No,Yes,0,20,4
Metro Hospital,28.65,77.25,2023,22,0,0,Dental,Dr Singh,Yes,No,1,186,5
