hospital,lat,long,year,hour,patients,wait_time,department,doctor_name,available,leave_status,floor,room,beds_available
City Hospital,28.61,77.2,2022,0,0,0,Dental,Dr Singh,Yes,No,1,111,7
City Hospital,28.61,77.2,2023,20,49,27,X-ray,Dr Ray,Yes,No,4,479,4
Green Valley Hospital,28.7,77.3,2023,11,45,23,X-ray,Dr Das,Yes,No,4,443,7
Green Valley Hospital,28.7,77.3,2024,14,70,49,X-ray,Dr Das,Yes,No,4,465,2
City Hospital,28.61,77.2,2024,22,38,25,X-ray,Dr Das,Yes,No,4,440,6
Metro Hospital,28.65,77.25,2023,8,33,20,Cardiology,Dr Gupta,Yes,No,3,316,6
City Hospital,28.61,77.2,2022,17,45,26,Cardiology,Dr Lee,Yes,No,3,329,4
Green Valley Hospital,28.7,77.3,2022,5,9,34,Cardiology,Dr Kim,No,Yes,3,351,9
Green Valley Hospital,28.7,77.3,2024,1,1,4,Dental,Dr Ali,Yes,No,1,152,8
Green Valley Hospital,28.7,77.3,2023,9,39,22,Dental,Dr Singh,Yes,No,1,149,7
Metro Hospital,28.65,77.25,2024,22,0,0,Dental,Dr Ali,Yes,No,1,177,6
City Hospital,28.61,77.2,2022,7,2,6,Dental,Dr Singh,Yes,No,1,122,9
Green Valley Hospital,28.7,77.3,2022,5,2,39,Cardiology,Dr Wright,No,Yes,3,351,5
Green Valley Hospital,28.7,77.3,2023,10,94,66,Dental,Dr Ali,Yes,No,1,131,2
Metro Hospital,28.65,77.25,2023,17,90,41,Emergency,Dr Allen,Yes,No,0,12,1
City Hospital,28.61,77.2,2023,6,7,4,Cardiology,Dr Lee,Yes,No,3,350,10
Green Valley Hospital,28.7,77.3,2024,20,100,72,Cardiology,Dr Kim,Yes,No,3,338,0
Metro Hospital,28.65,77.25,2023,15,93,43,Emergency,Dr Smith,Yes,No,0,56,1
Metro Hospital,28.65,77.25,2022,21,70,78,X-ray,Dr Ray,No,Yes,4,495,2
City Hospital,28.61,77.2,2023,2,18,38,X-ray,Dr Ray,No,Yes,4,423,5
Green Valley Hospital,28.7,77.3,2023,0,68,36,Emergency,Dr Doe,Yes,No,0,19,2
Green Valley Hospital,28.7,77.3,2022,23,28,17,X-ray,Dr Das,Yes,No,4,415,7
Metro Hospital,28.65,77.25,2023,15,112,68,Emergency,Dr Doe,Yes,No,0,46,0
City Hospital,28.61,77.2,2023,11,116,57,Emergency,Dr Doe,Yes,No,0,18,0
City Hospital,28.61,77.2,2023,10,51,34,X-ray,Dr Das,Yes,No,4,428,3
Metro Hospital,28.65,77.25,2024,2,7,4,Orthopedic,Dr Patel,Yes,No,2,252,7
Metro Hospital,28.65,77.25,2022,1,15,12,X-ray,Dr Das,Yes,No,4,484,7
Green Valley Hospital,28.7,77.3,2024,21,2,3,Dental,Dr Wong,Yes,No,1,189,8
Green Valley Hospital,28.7,77.3,2022,11,84,37,Orthopedic,Dr Sharma,Yes,No,2,211,1
Metro Hospital,28.65,77.25,2024,14,75,54,Dental,Dr Wong,Yes,No,1,159,2
Green Valley Hospital,28.7,77.3,2024,20,66,83,X-ray,Dr Das,No,Yes,4,435,4
Green Valley Hospital,28.7,77.3,2023,21,147,91,Emergency,Dr Allen,Yes,No,0,62,0
Green Valley Hospital,28.7,77.3,2022,1,13,11,X-ray,Dr Ray,Yes,No,4,457,8
Metro Hospital,28.65,77.25,2024,0,97,46,Emergency,Dr Khan,Yes,No,0,92,2
City Hospital,28.61,77.2,2024,1,2,4,Dental,Dr Wong,Yes,No,1,136,9
City Hospital,28.61,77.2,2022,14,83,85,Orthopedic,Dr Verma,No,Yes,2,268,1
City Hospital,28.61,77.2,2023,3,34,25,Emergency,Dr Khan,Yes,No,0,46,2
City Hospital,28.61,77.2,2024,9,32,22,Dental,Dr Singh,Yes,No,1,134,8
City Hospital,28.61,77.2,2023,13,75,71,Cardiology,Dr Gupta,No,Yes,3,315,3
Green Valley Hospital,28.7,77.3,2022,16,70,34,Emergency,Dr Doe,Yes,No,0,88,4
Green Valley Hospital,28.7,77.3,2022,5,10,6,Orthopedic,Dr Patel,Yes,No,2,244,5
Green Valley Hospital,28.7,77.3,2024,8,35,25,Dental,Dr Singh,Yes,No,1,164,5
Green Valley Hospital,28.7,77.3,2022,6,15,10,X-ray,Dr Ray,Yes,No,4,496,7
Green Valley Hospital,28.7,77.3,2023,6,5,4,Orthopedic,Dr Verma,Yes,No,2,269,7
City Hospital,28.61,77.2,2023,11,83,38,Orthopedic,Dr Verma,Yes,No,2,297,2
Metro Hospital,28.65,77.25,2023,17,35,24,X-ray,Dr Das,Yes,No,4,476,5
Metro Hospital,28.65,77.25,2024,1,3,3,Orthopedic,Dr Verma,Yes,No,2,222,8
City Hospital,28.61,77.2,2022,10,86,75,Orthopedic,Dr Reddy,No,Yes,2,243,0
Green Valley Hospital,28.7,77.3,2023,16,41,22,X-ray,Dr Das,Yes,No,4,432,3
Green Valley Hospital,28.7,77.3,2024,10,84,55,Cardiology,Dr Wright,Yes,No,3,344,1
Green Valley Hospital,28.7,77.3,2022,13,63,35,Orthopedic,Dr Patel,Yes,No,2,256,3
Green Valley Hospital,28.7,77.3,2022,12,75,76,Orthopedic,Dr Sharma,No,Yes,2,285,1
City Hospital,28.61,77.2,2024,7,39,54,Orthopedic,Dr Verma,No,Yes,2,230,5
City Hospital,28.61,77.2,2022,22,39,27,X-ray,Dr Ray,Yes,No,4,422,5
Green Valley Hospital,28.7,77.3,2022,16,45,22,Cardiology,Dr Kim,Yes,No,3,348,6
City Hospital,28.61,77.2,2022,15,37,16,Dental,Dr Singh,Yes,No,1,186,4
Metro Hospital,28.65,77.25,2024,15,30,16,Orthopedic,Dr Patel,Yes,No,2,269,8
Green Valley Hospital,28.7,77.3,2023,22,47,32,Cardiology,Dr Wright,Yes,No,3,338,4
Green Valley Hospital,28.7,77.3,2022,14,89,51,Orthopedic,Dr Reddy,Yes,No,2,223,2
Metro Hospital,28.65,77.25,2023,7,76,56,Emergency,Dr Doe,No,Yes,0,27,4
City Hospital,28.61,77.2,2023,14,69,46,Dental,Dr Wong,Yes,No,1,157,2
Metro Hospital,28.65,77.25,2023,19,75,52,Dental,Dr Singh,Yes,No,1,164,3
Metro Hospital,28.65,77.25,2024,13,51,30,X-ray,Dr Ray,Yes,No,4,434,3
Metro Hospital,28.65,77.25,2022,20,169,146,Emergency,Dr Doe,No,Yes,0,16,0
City Hospital,28.61,77.2,2024,15,30,18,X-ray,Dr Das,Yes,No,4,431,6
City Hospital,28.61,77.2,2022,22,54,27,Orthopedic,Dr Reddy,Yes,No,2,267,4
City Hospital,28.61,77.2,2023,20,74,43,Dental,Dr Wong,Yes,No,1,140,1
Metro Hospital,28.65,77.25,2024,8,32,20,Dental,Dr Singh,Yes,No,1,166,6
City Hospital,28.61,77.2,2024,7,36,19,Cardiology,Dr Kim,Yes,No,3,357,5
Metro Hospital,28.65,77.25,2023,4,14,10,X-ray,Dr Ray,Yes,No,4,475,10
Metro Hospital,28.65,77.25,2023,10,84,48,Cardiology,Dr Lee,Yes,No,3,326,1
Metro Hospital,28.65,77.25,2024,22,53,36,Orthopedic,Dr Verma,Yes,No,2,228,3
Metro Hospital,28.65,77.25,2024,16,38,17,X-ray,Dr Das,Yes,No,4,417,5
Green Valley Hospital,28.7,77.3,2022,8,52,28,Cardiology,Dr Lee,Yes,No,3,358,4
Green Valley Hospital,28.7,77.3,2022,17,27,16,Cardiology,Dr Gupta,Yes,No,3,380,8
Metro Hospital,28.65,77.25,2024,5,17,14,X-ray,Dr Ray,Yes,No,4,480,8
City Hospital,28.61,77.2,2024,17,83,49,Emergency,Dr Allen,Yes,No,0,70,4
City Hospital,28.61,77.2,2024,9,26,12,Orthopedic,Dr Verma,Yes,No,2,245,5
Green Valley Hospital,28.7,77.3,2022,21,88,48,Orthopedic,Dr Reddy,Yes,No,2,275,2
Green Valley Hospital,28.7,77.3,2023,18,103,60,Dental,Dr Singh,Yes,No,1,112,1
Metro Hospital,28.65,77.25,2023,16,73,46,Emergency,Dr Doe,Yes,No,0,56,2
Green Valley Hospital,28.7,77.3,2024,2,10,7,X-ray,Dr Das,Yes,No,4,451,8
Metro Hospital,28.65,77.25,2022,7,87,43,Emergency,Dr Doe,Yes,No,0,49,2
City Hospital,28.61,77.2,2024,3,2,5,Orthopedic,Dr Patel,Yes,No,2,223,6
City Hospital,28.61,77.2,2023,6,27,15,Emergency,Dr Doe,Yes,No,0,15,6
Green Valley Hospital,28.7,77.3,2022,8,101,105,Emergency,Dr Allen,No,Yes,0,97,0
Metro Hospital,28.65,77.25,2024,12,91,54,Cardiology,Dr Gupta,Yes,No,3,353,2
City Hospital,28.61,77.2,2024,21,61,31,X-ray,Dr Ray,Yes,No,4,422,5
City Hospital,28.61,77.2,2022,18,162,78,Emergency,Dr Allen,Yes,No,0,20,0
Green Valley Hospital,28.7,77.3,2024,19,101,50,Cardiology,Dr Kim,Yes,No,3,382,0
Green Valley Hospital,28.7,77.3,2024,21,76,39,Cardiology,Dr Kim,Yes,No,3,370,2
Metro Hospital,28.65,77.25,2024,0,40,44,X-ray,Dr Ray,No,Yes,4,432,7
City Hospital,28.61,77.2,2022,17,25,18,X-ray,Dr Das,Yes,No,4,411,7
City Hospital,28.61,77.2,2023,22,27,12,Cardiology,Dr Wright,Yes,No,3,378,8
Metro Hospital,28.65,77.25,2024,12,54,28,X-ray,Dr Das,Yes,No,4,457,6
City Hospital,28.61,77.2,2024,15,52,32,Dental,Dr Singh,Yes,No,1,113,6
Green Valley Hospital,28.7,77.3,2023,17,33,22,X-ray,Dr Das,Yes,No,4,472,6
City Hospital,28.61,77.2,2022,1,9,6,Orthopedic,Dr Verma,Yes,No,2,249,6
Metro Hospital,28.65,77.25,2023,8,74,43,Emergency,Dr Doe,Yes,No,0,45,3
Green Valley Hospital,28.7,77.3,2024,9,92,63,Emergency,Dr Smith,Yes,No,0,46,1
Metro Hospital,28.65,77.25,2023,14,80,50,Cardiology,Dr Wright,Yes,No,3,354,2
Metro Hospital,28.65,77.25,2023,16,54,37,Cardiology,Dr Wright,Yes,No,3,369,4
City Hospital,28.61,77.2,2023,0,1,43,Dental,Dr Wong,No,Yes,1,147,8
Metro Hospital,28.65,77.25,2024,10,146,93,Emergency,Dr Allen,Yes,No,0,54,0
Green Valley Hospital,28.7,77.3,2024,19,101,85,Dental,Dr Ali,No,Yes,1,133,0
City Hospital,28.61,77.2,2022,22,77,49,Emergency,Dr Smith,Yes,No,0,87,3
Metro Hospital,28.65,77.25,2024,14,93,60,Orthopedic,Dr Patel,Yes,No,2,291,2
Green Valley Hospital,28.7,77.3,2022,21,95,47,Orthopedic,Dr Verma,Yes,No,2,265,2
City Hospital,28.61,77.2,2024,16,26,19,Cardiology,Dr Lee,Yes,No,3,382,9
Metro Hospital,28.65,77.25,2022,7,90,58,Emergency,Dr Smith,Yes,No,0,54,3
City Hospital,28.61,77.2,2022,17,46,26,Cardiology,Dr Wright,Yes,No,3,317,6
Metro Hospital,28.65,77.25,2022,15,46,51,Cardiology,Dr Wright,No,Yes,3,398,4
Metro Hospital,28.65,77.25,2022,12,72,42,Dental,Dr Singh,Yes,No,1,172,3
Metro Hospital,28.65,77.25,2023,20,67,30,X-ray,Dr Ray,Yes,No,4,492,2
Metro Hospital,28.65,77.25,2024,19,82,54,Orthopedic,Dr Sharma,Yes,No,2,211,3
City Hospital,28.61,77.2,2023,21,3,4,Dental,Dr Ali,Yes,No,1,171,9
Green Valley Hospital,28.7,77.3,2022,7,105,81,Emergency,Dr Khan,No,Yes,0,88,0
Metro Hospital,28.65,77.25,2024,12,70,44,Dental,Dr Wong,Yes,No,1,155,2
Metro Hospital,28.65,77.25,2024,8,72,35,Emergency,Dr Doe,Yes,No,0,21,1
City Hospital,28.61,77.2,2024,8,54,34,Orthopedic,Dr Reddy,Yes,No,2,263,2
City Hospital,28.61,77.2,2023,17,64,35,Emergency,Dr Smith,Yes,No,0,46,4
Metro Hospital,28.65,77.25,2024,6,2,5,Cardiology,Dr Gupta,Yes,No,3,352,6
City Hospital,28.61,77.2,2022,23,34,27,Cardiology,Dr Gupta,Yes,No,3,370,4
Green Valley Hospital,28.7,77.3,2024,16,26,18,Dental,Dr Wong,Yes,No,1,121,7
Green Valley Hospital,28.7,77.3,2024,12,86,58,Cardiology,Dr Lee,Yes,No,3,352,0
Metro Hospital,28.65,77.25,2024,8,30,15,Orthopedic,Dr Verma,Yes,No,2,288,7
Green Valley Hospital,28.7,77.3,2024,17,43,69,X-ray,Dr Ray,No,Yes,4,481,5
City Hospital,28.61,77.2,2023,2,3,26,Dental,Dr Wong,No,Yes,1,112,9
Metro Hospital,28.65,77.25,2023,4,3,31,Orthopedic,Dr Patel,No,Yes,2,252,7
Metro Hospital,28.65,77.25,2023,19,94,90,Orthopedic,Dr Reddy,No,Yes,2,224,1
City Hospital,28.61,77.2,2022,17,28,20,Orthopedic,Dr Sharma,Yes,No,2,241,6
Green Valley Hospital,28.7,77.3,2022,18,73,50,Dental,Dr Ali,Yes,No,1,189,1
City Hospital,28.61,77.2,2023,5,3,2,Cardiology,Dr Kim,Yes,No,3,324,7
Metro Hospital,28.65,77.25,2024,17,28,24,Orthopedic,Dr Sharma,Yes,No,2,297,8
Metro Hospital,28.65,77.25,2023,19,70,65,X-ray,Dr Ray,No,Yes,4,425,1
Green Valley Hospital,28.7,77.3,2023,9,102,63,Emergency,Dr Allen,Yes,No,0,13,0
Green Valley Hospital,28.7,77.3,2022,21,177,84,Emergency,Dr Allen,Yes,No,0,80,0
Metro Hospital,28.65,77.25,2022,6,8,9,Cardiology,Dr Kim,Yes,No,3,364,7
Metro Hospital,28.65,77.25,2023,22,32,20,X-ray,Dr Ray,Yes,No,4,469,6
Metro Hospital,28.65,77.25,2024,2,20,39,X-ray,Dr Ray,No,Yes,4,496,7
City Hospital,28.61,77.2,2024,12,66,39,X-ray,Dr Ray,Yes,No,4,413,2
Green Valley Hospital,28.7,77.3,2023,2,18,17,X-ray,Dr Das,Yes,No,4,468,8
Metro Hospital,28.65,77.25,2024,7,26,18,Cardiology,Dr Gupta,Yes,No,3,331,8
City Hospital,28.61,77.2,2023,12,122,82,Emergency,Dr Smith,Yes,No,0,61,0
Metro Hospital,28.65,77.25,2024,17,47,23,Orthopedic,Dr Sharma,Yes,No,2,281,4
City Hospital,28.61,77.2,2023,10,53,23,X-ray,Dr Das,Yes,No,4,482,4
Metro Hospital,28.65,77.25,2022,22,26,12,X-ray,Dr Ray,Yes,No,4,448,7
City Hospital,28.61,77.2,2023,7,1,2,Dental,Dr Singh,Yes,No,1,162,6
Green Valley Hospital,28.7,77.3,2023,19,82,61,Dental,Dr Wong,Yes,No,1,188,2
Metro Hospital,28.65,77.25,2022,22,32,19,Cardiology,Dr Kim,Yes,No,3,310,5
City Hospital,28.61,77.2,2024,4,14,11,X-ray,Dr Ray,Yes,No,4,416,8
City Hospital,28.61,77.2,2023,19,177,89,Emergency,Dr Doe,Yes,No,0,70,0
City Hospital,28.61,77.2,2024,1,8,7,X-ray,Dr Das,Yes,No,4,453,8
Green Valley Hospital,28.7,77.3,2022,1,11,10,X-ray,Dr Das,Yes,No,4,450,8
Green Valley Hospital,28.7,77.3,2023,21,3,3,Dental,Dr Ali,Yes,No,1,131,9
Metro Hospital,28.65,77.25,2023,18,102,46,Orthopedic,Dr Sharma,Yes,No,2,289,1
City Hospital,28.61,77.2,2023,17,38,25,X-ray,Dr Ray,Yes,No,4,459,5
Green Valley Hospital,28.7,77.3,2023,17,27,14,Cardiology,Dr Gupta,Yes,No,3,357,7
Metro Hospital,28.65,77.25,2022,17,44,23,Cardiology,Dr Gupta,Yes,No,3,310,6
Metro Hospital,28.65,77.25,2023,23,0,0,Dental,Dr Wong,Yes,No,1,148,9
City Hospital,28.61,77.2,2022,6,11,7,Orthopedic,Dr Patel,Yes,No,2,267,8
Green Valley Hospital,28.7,77.3,2023,21,2,5,Dental,Dr Ali,Yes,No,1,141,8
Metro Hospital,28.65,77.25,2023,10,47,33,X-ray,Dr Das,Yes,No,4,436,5
Green Valley Hospital,28.7,77.3,2022,10,74,44,Cardiology,Dr Wright,Yes,No,3,387,2
Metro Hospital,28.65,77.25,2022,21,96,68,Cardiology,Dr Gupta,Yes,No,3,362,2
Metro Hospital,28.65,77.25,2023,4,30,19,Emergency,Dr Khan,Yes,No,0,85,5
City Hospital,28.61,77.2,2024,9,54,30,Cardiology,Dr Kim,Yes,No,3,372,6
City Hospital,28.61,77.2,2022,17,46,36,Cardiology,Dr Wright,Yes,No,3,349,7
Metro Hospital,28.65,77.25,2022,21,72,46,Cardiology,Dr Gupta,Yes,No,3,370,3
City Hospital,28.61,77.2,2022,14,62,63,Dental,Dr Wong,No,Yes,1,165,3
Green Valley Hospital,28.7,77.3,2022,6,19,14,X-ray,Dr Das,Yes,No,4,494,7
Green Valley Hospital,28.7,77.3,2023,4,7,5,Cardiology,Dr Wright,Yes,No,3,366,10
Green Valley Hospital,28.7,77.3,2023,17,40,47,Cardiology,Dr Wright,No,Yes,3,327,4
Green Valley Hospital,28.7,77.3,2023,7,39,22,X-ray,Dr Ray,Yes,No,4,426,8
Metro Hospital,28.65,77.25,2023,11,63,73,Cardiology,Dr Gupta,No,Yes,3,320,4
Metro Hospital,28.65,77.25,2024,13,92,46,Orthopedic,Dr Patel,Yes,No,2,242,1
Green Valley Hospital,28.7,77.3,2023,8,92,64,Emergency,Dr Doe,Yes,No,0,76,4
City Hospital,28.61,77.2,2024,0,79,41,Emergency,Dr Allen,Yes,No,0,55,2
Metro Hospital,28.65,77.25,2024,11,58,34,X-ray,Dr Das,Yes,No,4,420,5
City Hospital,28.61,77.2,2022,4,1,5,Dental,Dr Ali,Yes,No,1,184,8
Green Valley Hospital,28.7,77.3,2023,5,40,28,Emergency,Dr Khan,Yes,No,0,93,2
Green Valley Hospital,28.7,77.3,2024,12,92,55,Orthopedic,Dr Sharma,Yes,No,2,220,1
City Hospital,28.61,77.2,2024,6,9,5,Cardiology,Dr Lee,Yes,No,3,398,6
Metro Hospital,28.65,77.25,2022,20,100,51,Dental,Dr Ali,Yes,No,1,199,0
Metro Hospital,28.65,77.25,2022,5,10,10,Orthopedic,Dr Sharma,Yes,No,2,248,6
Green Valley Hospital,28.7,77.3,2022,18,68,47,X-ray,Dr Das,Yes,No,4,415,3
Metro Hospital,28.65,77.25,2024,17,31,59,Dental,Dr Wong,No,Yes,1,133,6
Metro Hospital,28.65,77.25,2022,8,32,15,X-ray,Dr Das,Yes,No,4,442,5
City Hospital,28.61,77.2,2023,16,50,55,Orthopedic,Dr Reddy,No,Yes,2,260,5
Green Valley Hospital,28.7,77.3,2024,10,66,44,Orthopedic,Dr Reddy,Yes,No,2,225,3
Green Valley Hospital,28.7,77.3,2024,5,37,26,Emergency,Dr Allen,Yes,No,0,25,2
Green Valley Hospital,28.7,77.3,2024,20,77,47,Orthopedic,Dr Sharma,Yes,No,2,298,3
Metro Hospital,28.65,77.25,2023,7,47,37,Orthopedic,Dr Patel,Yes,No,2,279,5
Green Valley Hospital,28.7,77.3,2023,18,99,59,Orthopedic,Dr Patel,Yes,No,2,236,0
Metro Hospital,28.65,77.25,2024,15,85,46,Emergency,Dr Khan,Yes,No,0,34,1
Metro Hospital,28.65,77.25,2024,5,9,9,Cardiology,Dr Lee,Yes,No,3,375,9
City Hospital,28.61,77.2,2023,12,113,85,Emergency,Dr Doe,No,Yes,0,28,0
City Hospital,28.61,77.2,2024,12,76,62,Cardiology,Dr Wright,No,Yes,3,377,2
City Hospital,28.61,77.2,2023,9,43,67,Orthopedic,Dr Patel,No,Yes,2,248,3
City Hospital,28.61,77.2,2023,11,86,59,Cardiology,Dr Lee,Yes,No,3,394,2
Metro Hospital,28.65,77.25,2023,12,74,66,Cardiology,Dr Gupta,No,Yes,3,394,3
City Hospital,28.61,77.2,2023,12,158,79,Emergency,Dr Khan,Yes,No,0,73,0
Metro Hospital,28.65,77.25,2024,15,45,52,Dental,Dr Wong,No,Yes,1,190,4
City Hospital,28.61,77.2,2022,3,0,0,Dental,Dr Ali,Yes,No,1,121,6
Green Valley Hospital,28.7,77.3,2024,5,2,6,Cardiology,Dr Lee,Yes,No,3,362,6
City Hospital,28.61,77.2,2024,4,4,41,Cardiology,Dr Lee,No,Yes,3,339,8
City Hospital,28.61,77.2,2023,23,41,52,Orthopedic,Dr Patel,No,Yes,2,277,5
Metro Hospital,28.65,77.25,2024,8,33,62,Dental,Dr Wong,No,Yes,1,183,4
Metro Hospital,28.65,77.25,2022,5,4,6,Cardiology,Dr Lee,Yes,No,3,330,8
Green Valley Hospital,28.7,77.3,2024,20,82,52,Orthopedic,Dr Sharma,Yes,No,2,237,3
Metro Hospital,28.65,77.25,2022,15,34,22,X-ray,Dr Das,Yes,No,4,430,6
City Hospital,28.61,77.2,2024,14,80,53,Cardiology,Dr Kim,Yes,No,3,337,2
Green Valley Hospital,28.7,77.3,2024,18,71,68,X-ray,Dr Das,No,Yes,4,433,4
City Hospital,28.61,77.2,2023,12,91,44,Cardiology,Dr Gupta,Yes,No,3,326,0
City Hospital,28.61,77.2,2023,6,10,9,X-ray,Dr Das,Yes,No,4,447,7
City Hospital,28.61,77.2,2023,3,3,27,Cardiology,Dr Gupta,No,Yes,3,320,9
Green Valley Hospital,28.7,77.3,2022,12,83,40,Orthopedic,Dr Sharma,Yes,No,2,233,2
Green Valley Hospital,28.7,77.3,2023,17,33,26,Orthopedic,Dr Sharma,Yes,No,2,294,5
City Hospital,28.61,77.2,2024,4,3,6,Dental,Dr Singh,Yes,No,1,161,6
Metro Hospital,28.65,77.25,2024,4,11,9,X-ray,Dr Ray,Yes,No,4,487,6
Metro Hospital,28.65,77.25,2022,20,102,68,Dental,Dr Wong,Yes,No,1,153,0
City Hospital,28.61,77.2,2023,17,61,40,Emergency,Dr Doe,Yes,No,0,80,3
Green Valley Hospital,28.7,77.3,2022,18,87,54,Dental,Dr Wong,Yes,No,1,193,0
Green Valley Hospital,28.7,77.3,2023,1,8,8,X-ray,Dr Das,Yes,No,4,457,9
Metro Hospital,28.65,77.25,2022,14,67,67,Dental,Dr Singh,No,Yes,1,171,3
Metro Hospital,28.65,77.25,2022,11,75,42,Dental,Dr Singh,Yes,No,1,164,1
Green Valley Hospital,28.7,77.3,2024,21,60,29,X-ray,Dr Das,Yes,No,4,457,4
Metro Hospital,28.65,77.25,2024,4,38,26,Emergency,Dr Allen,Yes,No,0,75,4
City Hospital,28.61,77.2,2024,4,3,4,Cardiology,Dr Gupta,Yes,No,3,347,5
Metro Hospital,28.65,77.25,2024,9,35,17,Orthopedic,Dr Patel,Yes,No,2,222,3
City Hospital,28.61,77.2,2022,23,32,42,Cardiology,Dr Kim,No,Yes,3,324,7
Green Valley Hospital,28.7,77.3,2024,21,74,51,X-ray,Dr Das,Yes,No,4,499,2
Metro Hospital,28.65,77.25,2022,8,61,32,Emergency,Dr Khan,Yes,No,0,36,3
City Hospital,28.61,77.2,2024,17,83,38,Emergency,Dr Allen,Yes,No,0,98,2
Green Valley Hospital,28.7,77.3,2024,16,37,18,Orthopedic,Dr Verma,Yes,No,2,285,6
City Hospital,28.61,77.2,2022,9,47,35,Dental,Dr Wong,Yes,No,1,182,3
Metro Hospital,28.65,77.25,2022,19,95,95,Orthopedic,Dr Sharma,No,Yes,2,256,1
Green Valley Hospital,28.7,77.3,2024,15,37,27,X-ray,Dr Das,Yes,No,4,416,4
City Hospital,28.61,77.2,2023,11,87,47,Cardiology,Dr Kim,Yes,No,3,352,3
Metro Hospital,28.65,77.25,2022,9,34,17,X-ray,Dr Das,Yes,No,4,445,6
Green Valley Hospital,28.7,77.3,2022,23,36,48,Orthopedic,Dr Patel,No,Yes,2,229,7
City Hospital,28.61,77.2,2023,10,64,34,Dental,Dr Wong,Yes,No,1,196,4
Metro Hospital,28.65,77.25,2022,11,50,30,X-ray,Dr Ray,Yes,No,4,460,4
Green Valley Hospital,28.7,77.3,2024,5,2,6,Dental,Dr Ali,Yes,No,1,168,8
Green Valley Hospital,28.7,77.3,2024,1,0,0,Dental,Dr Singh,Yes,No,1,191,10
Green Valley Hospital,28.7,77.3,2023,17,34,21,Cardiology,Dr Kim,Yes,No,3,351,5
Green Valley Hospital,28.7,77.3,2022,2,6,6,Orthopedic,Dr Sharma,Yes,No,2,227,10
Green Valley Hospital,28.7,77.3,2022,4,10,9,Orthopedic,Dr Patel,Yes,No,2,290,7
Metro Hospital,28.65,77.25,2024,17,30,18,Dental,Dr Wong,Yes,No,1,141,4
Green Valley Hospital,28.7,77.3,2023,14,63,40,Orthopedic,Dr Patel,Yes,No,2,251,3
Metro Hospital,28.65,77.25,2024,23,84,69,Emergency,Dr Smith,No,Yes,0,67,2
Metro Hospital,28.65,77.25,2024,3,38,22,Emergency,Dr Doe,Yes,No,0,44,4
City Hospital,28.61,77.2,2023,6,11,8,Cardiology,Dr Lee,Yes,No,3,344,9
City Hospital,28.61,77.2,2023,8,28,14,X-ray,Dr Das,Yes,No,4,446,5
Metro Hospital,28.65,77.25,2023,11,66,27,X-ray,Dr Das,Yes,No,4,419,3
City Hospital,28.61,77.2,2022,11,90,46,Orthopedic,Dr Verma,Yes,No,2,222,1
Green Valley Hospital,28.7,77.3,2022,6,7,5,Cardiology,Dr Lee,Yes,No,3,371,8
Metro Hospital,28.65,77.25,2022,5,6,6,Cardiology,Dr Gupta,Yes,No,3,364,9
City Hospital,28.61,77.2,2022,8,33,47,Dental,Dr Singh,No,Yes,1,118,6
Green Valley Hospital,28.7,77.3,2022,5,0,0,Dental,Dr Singh,No,Yes,1,188,7
Metro Hospital,28.65,77.25,2023,21,79,57,Orthopedic,Dr Verma,Yes,No,2,276,2
Metro Hospital,28.65,77.25,2024,4,13,44,X-ray,Dr Das,No,Yes,4,422,8
Green Valley Hospital,28.7,77.3,2022,3,1,3,Dental,Dr Ali,Yes,No,1,171,6
Metro Hospital,28.65,77.25,2024,12,70,41,Orthopedic,Dr Sharma,Yes,No,2,287,4
Metro Hospital,28.65,77.25,2023,21,56,27,X-ray,Dr Das,Yes,No,4,435,5
Green Valley Hospital,28.7,77.3,2022,9,31,20,Orthopedic,Dr Patel,Yes,No,2,244,8
Metro Hospital,28.65,77.25,2022,15,37,20,Cardiology,Dr Lee,Yes,No,3,326,6
Metro Hospital,28.65,77.25,2022,8,29,15,Cardiology,Dr Gupta,Yes,No,3,386,7
Green Valley Hospital,28.7,77.3,2022,14,155,68,Emergency,Dr Khan,Yes,No,0,27,0
Metro Hospital,28.65,77.25,2022,14,79,37,Orthopedic,Dr Reddy,Yes,No,2,227,3
Metro Hospital,28.65,77.25,2023,17,54,37,Orthopedic,Dr Sharma,Yes,No,2,268,6
Metro Hospital,28.65,77.25,2024,7,61,30,Emergency,Dr Smith,Yes,No,0,49,3
City Hospital,28.61,77.2,2023,2,17,11,X-ray,Dr Das,Yes,No,4,450,6
City Hospital,28.61,77.2,2024,20,80,60,Orthopedic,Dr Reddy,Yes,No,2,219,2
City Hospital,28.61,77.2,2022,18,102,45,Dental,Dr Wong,Yes,No,1,119,0
Metro Hospital,28.65,77.25,2022,3,10,6,Cardiology,Dr Gupta,Yes,No,3,334,5
Green Valley Hospital,28.7,77.3,2023,20,96,59,Orthopedic,Dr Patel,Yes,No,2,232,1
City Hospital,28.61,77.2,2024,10,62,33,X-ray,Dr Das,Yes,No,4,453,3
City Hospital,28.61,77.2,2024,0,38,50,Orthopedic,Dr Reddy,No,Yes,2,274,4
City Hospital,28.61,77.2,2023,16,25,15,X-ray,Dr Ray,Yes,No,4,428,5
City Hospital,28.61,77.2,2023,17,37,65,X-ray,Dr Das,No,Yes,4,424,3
